restaurant_id,restaurant_name,subzone,city,cuisine_type,outlet_type,max_kitchen_capacity,avg_active_staff,opening_time,closing_time,avg_kpt_minutes,std_kpt_minutes,total_delivered_orders,kpt_threshold_2sigma,kpt_threshold_3sigma,platform_join_date,platform_rating,is_active
20320607,Swaad,Sector 4,Delhi NCR,"North Indian, Chinese",Cloud Kitchen,10,6,10:00 AM,11:59 PM,15.86,5.07,1726,26.0,31.07,2023-04-13,3.9,True
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,"North Indian, Chinese",Cloud Kitchen,10,6,10:00 AM,11:59 PM,18.33,5.7,2732,29.73,35.43,2024-03-11,4.4,True
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,"Pizza, Italian",Cloud Kitchen,8,4,11:00 AM,11:00 PM,17.61,6.86,4319,31.33,38.19,2023-12-15,4.6,True
20659868,Aura Pizzas,Sector 4,Delhi NCR,"Pizza, Italian",Cloud Kitchen,8,4,11:00 AM,11:00 PM,16.39,6.48,4530,29.35,35.83,2023-09-28,3.8,True
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,"Pizza, Italian",Cloud Kitchen,8,4,11:00 AM,11:00 PM,18.87,6.93,2511,32.73,39.66,2023-04-17,4.7,True
20882713,Swaad,DLF Phase 1,Delhi NCR,"North Indian, Chinese",Cloud Kitchen,10,6,10:00 AM,11:59 PM,18.91,6.01,1064,30.93,36.94,2023-03-13,4.4,True
20968194,Dilli Burger Adda,Sector 4,Delhi NCR,"Burgers, Fast Food",Cloud Kitchen,6,4,10:00 AM,11:00 PM,19.5,10.03,45,39.56,49.59,2023-07-08,4.4,True
20968206,Dilli Burger Adda,Greater Kailash 2 (GK2),Delhi NCR,"Burgers, Fast Food",Cloud Kitchen,6,4,10:00 AM,11:00 PM,20.12,7.05,106,34.22,41.27,2023-01-21,3.8,True
21077127,Aura Pizzas,Sector 135,Delhi NCR,"Pizza, Italian",Cloud Kitchen,8,4,11:00 AM,11:00 PM,15.16,4.39,2019,23.94,28.33,2023-04-13,3.8,True
21145152,Tandoori Junction,Sector 4,Delhi NCR,"Tandoor, North Indian",Full Service,15,8,12:00 PM,11:00 PM,19.51,7.4,35,34.31,41.71,2023-05-02,4.3,True
21173951,Aura Pizzas,Vasant Kunj,Delhi NCR,"Pizza, Italian",Cloud Kitchen,8,4,11:00 AM,11:00 PM,17.44,4.96,914,27.36,32.32,2024-04-11,4.2,True
21309083,Swaad,Sector 135,Delhi NCR,"North Indian, Chinese",Cloud Kitchen,10,6,10:00 AM,11:59 PM,18.69,5.19,693,29.07,34.26,2023-08-03,3.8,True
21350931,Tandoori Junction,DLF Phase 1,Delhi NCR,"Tandoor, North Indian",Full Service,15,8,12:00 PM,11:00 PM,20.82,12.59,27,46.0,58.59,2023-11-27,4.7,True
21143186,Tandoori Junction,Greater Kailash 2 (GK2),Delhi NCR,"Tandoor, North Indian",Full Service,15,8,12:00 PM,11:00 PM,22.77,6.95,71,36.67,43.62,2024-04-03,4.0,True
20968171,Dilli Burger Adda,DLF Phase 1,Delhi NCR,"Burgers, Fast Food",Cloud Kitchen,6,4,10:00 AM,11:00 PM,18.43,8.21,33,34.85,43.06,2023-03-29,3.9,True
21114574,Dilli Burger Adda,Sector 135,Delhi NCR,"Burgers, Fast Food",Cloud Kitchen,6,4,10:00 AM,11:00 PM,18.18,5.9,37,29.98,35.88,2024-01-08,4.4,True
21424296,Tandoori Junction,Shahdara,Delhi NCR,"Tandoor, North Indian",Full Service,15,8,12:00 PM,11:00 PM,17.96,7.52,16,33.0,40.52,2023-04-10,4.1,True
21467269,The Chicken Junction,Sector 4,Delhi NCR,"Chicken, Grills",Cloud Kitchen,8,5,11:00 AM,11:30 PM,15.58,6.03,29,27.64,33.67,2023-12-26,4.7,True
21467512,The Chicken Junction,Sikandarpur,Delhi NCR,"Chicken, Grills",Cloud Kitchen,8,5,11:00 AM,11:30 PM,15.87,,1,,,2023-06-01,4.2,True
21523055,Masala Junction,Sector 4,Delhi NCR,"North Indian, Biryani",Full Service,12,6,11:00 AM,11:00 PM,13.7,4.93,25,23.56,28.49,2023-05-11,4.6,True
21467440,The Chicken Junction,Chittaranjan Park,Delhi NCR,"Chicken, Grills",Cloud Kitchen,8,5,11:00 AM,11:30 PM,14.32,,1,,,2023-05-30,4.4,True
